date,url,title,source,category
2026-07-01,https://arxiv.org/abs/2606.31190,Semiparametric Efficiency in Sequential Experiments: Characterization and Design via Average Propensity,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31230,Learning Gaussian Graphical Models from a Glauber Trajectory Without Mixing,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31253,MNAR-$k$-means: A $k$-means Clustering for Data Missing Not at Random with Magnitude-Decaying Probability,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31269,Simultaneous Inference for Partially Observed Functional Time Series,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31284,Sequential sparse Gaussian process quantile regression,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31381,Improving Efficiency of Regression Analyses by Integrating Data from Population-Representative Surveys: A Model-Assisted Calibration Approach,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31418,On the choice of using raw or demographically-corrected scores,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31449,Contextual Slate GLM Bandits with Limited Adaptivity,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31465,Functional Principal Component Analysis for Manifold-Indexed Data,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31524,On the Convergence of Self-Improving Online LLM Alignment,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31600,On Optimal Data Splitting for Split Conformal Prediction,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31652,Statistical Inference for Gaussian Kernel Robust Regression with the gkrreg Package,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31661,Near-Optimal Nitrogen Recommendations for Precision Agriculture via Sequential Screening and Hierarchical Refinement,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31769,Policy Optimization Achieves Data-Dependent Regret Bounds in MDPs with Unknown Transitions,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31804,Relational and Sequential Conformal Inference for Energy Time Series over Graphs via Foundation Models,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31915,Accelerating Conformal Prediction via Approximate Leave-One-Out,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31954,A Conformal Selection Framework for Individual Treatment Beneficiaries with Auxiliary External Data,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31957,"Locally stationary Argo ocean heat content estimates: Modeling, validation and uncertainty quantification",arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31963,Signed-Permutation Coordinate Transport for RMSNorm Transformers,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31964,Scalable Joint Modeling of Dependent Multi-Type Survey Data for Small Area Estimation,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.31970,Payment Process Estimation in Aggregated Insurance Models,arxiv,stat
2026-07-01,https://arxiv.org/abs/2606.32005,Random Reshuffling Dominates Stochastic Gradient Descent,arxiv,stat
2026-07-01,https://arxiv.org/abs/2402.06734,Corruption Robust Offline Reinforcement Learning with Human Feedback,arxiv,cs
2026-07-01,https://arxiv.org/abs/2404.01356,Perturbation Effects on Robustness and Individual Fairness,arxiv,cs
2026-07-01,https://arxiv.org/abs/2404.10034,A Realistic Protocol for Evaluation of Weakly Supervised Object Localization,arxiv,cs
2026-07-01,https://arxiv.org/abs/2410.00074,Collaborative Knowledge Distillation via a Learning-by-Education Node Community,arxiv,cs
2026-07-01,https://arxiv.org/abs/2410.11894,Automated Discovery of Operable Dynamics from Videos,arxiv,cs
2026-07-01,https://arxiv.org/abs/2410.12341,Learning by Surprise: Adaptive Mitigation of Model Collapse in Large Language Models,arxiv,cs
2026-07-01,https://arxiv.org/abs/2502.00684,Compositional Concept-Based Neuron-Level Interpretability for Deep Reinforcement Learning,arxiv,cs
2026-07-01,https://arxiv.org/abs/2502.15845,Verify when Uncertain: Beyond Self-Consistency in Black Box Hallucination Detection,arxiv,cs
2026-07-01,https://arxiv.org/abs/2503.05785,"Artificial Intelligence in Sports: Insights from a Quantitative Survey among Sports Students in Germany about their Perceptions, Expectations, and Concerns regarding the Use of AI Tools",arxiv,cs
2026-07-01,https://arxiv.org/abs/2503.18959,Seven-dimensional Trajectory Reconstruction for VAMOS++,arxiv,cs
2026-07-01,https://arxiv.org/abs/2504.04991,Wavelet Policy: Imitation Learning in the Scale Domain with World Prior Memory,arxiv,cs
2026-07-01,https://arxiv.org/abs/2504.07385,SAGE: A Search-AuGmented Evaluation of Large Language Models on Free-Form QA,arxiv,cs
2026-07-01,https://arxiv.org/abs/2504.12557,TraCeS: Learning Per-Timestep Constraint-Violation Credit from Sparse Trajectory-Level Labels,arxiv,cs
2026-07-01,https://arxiv.org/abs/2504.17503,Tailored minimal reservoir computing: on the bidirectional connection between nonlinearities in the reservoir and in data,arxiv,cs
2026-07-01,https://arxiv.org/abs/2505.03303,"A Reproducible Benchmark of Lightweight CNNs: Accuracy, Efficiency, and the Impact of Pretrained Initialization",arxiv,cs
2026-07-01,https://arxiv.org/abs/2505.21550,Position: Collaborative Agentic AI Needs Interoperability Across Ecosystems,arxiv,cs
2026-07-01,https://arxiv.org/abs/2506.17294,From Multimodal Perception to Strategic Reasoning: A Survey on AI-Generated Game Commentary,arxiv,cs
2026-07-01,https://arxiv.org/abs/2506.20995,Step-by-Step Video-to-Audio Synthesis via Negative Audio Guidance,arxiv,cs
2026-07-01,https://arxiv.org/abs/2507.00263,Room Scene Discovery and Grouping in Unstructured Vacation Rental Image Collections,arxiv,cs
2026-07-01,https://arxiv.org/abs/2507.07109,Analysis of Atomic Charge State and Atomic Number for VAMOS++ Magnetic Spectrometer using Deep Neural Networks and Fractionally Labelled Events,arxiv,cs
2026-07-01,https://arxiv.org/abs/2507.11061,Robust 3D-Masked Part-level Editing in 3D Gaussian Splatting with Regularized Score Distillation Sampling,arxiv,cs
2026-07-01,https://arxiv.org/abs/2507.17188,LLM-Aided Joint Secrecy Precoding and Trajectory for RSMA-Based Heterogeneous UAV Networks,arxiv,cs
2026-07-01,https://arxiv.org/abs/2507.18606,Quantum Bayesian Networks Can Speed up Reinforcement Learning in Partially Observable Environments,arxiv,cs
2026-07-01,https://arxiv.org/abs/2507.23604,Hierarchical Message-Passing Policies for Multi-Agent Reinforcement Learning,arxiv,cs
2026-07-01,https://arxiv.org/abs/2508.01273,Disentangling Reasoning Logic to Resolve Explicit Knowledge Conflicts,arxiv,cs
2026-07-01,https://arxiv.org/abs/2508.02187,Registering the 4D Millimeter Wave Radar Point Clouds Via Generalized Method of Moments,arxiv,cs
2026-07-01,https://arxiv.org/abs/2508.08237,VGGSounder: Audio-Visual Evaluations for Foundation Models,arxiv,cs
2026-07-01,https://arxiv.org/abs/2508.09156,Physics-Constrained Fine-Tuning of Flow-Matching Models for Generation and Inverse Problems,arxiv,cs
2026-07-01,https://arxiv.org/abs/2508.10409,Dataset Construction for Training LLM to Learn Analog Circuit Knowledge,arxiv,cs
2026-07-01,https://arxiv.org/abs/2508.12270,L-SR1: Learned Symmetric-Rank-One Preconditioning,arxiv,cs
2026-07-01,https://arxiv.org/abs/2508.12413,Quantum Flow Matching,arxiv,cs
2026-07-01,https://arxiv.org/abs/2508.13836,One Shot vs. Iterative: Rethinking Pruning Strategies for Model Compression,arxiv,cs
2026-07-01,https://arxiv.org/abs/2509.10406,Multipole Semantic Attention: A Fast Approximation of Softmax Attention for Pretraining,arxiv,cs
2026-07-01,https://arxiv.org/abs/2509.12046,Layout-Conditioned Autoregressive Text-to-Image Generation via Structured Masking,arxiv,cs
2026-07-01,https://arxiv.org/abs/2509.15443,A Scalable Whole-body Motion Transfer via Implicit Kinodynamic Motion Retargeting,arxiv,cs
2026-07-01,https://arxiv.org/abs/2509.16248,GraphMend: Code Transformations for Fixing Graph Breaks in PyTorch 2,arxiv,cs
2026-07-01,https://arxiv.org/abs/2509.20491,SpecDetect4ML: Detecting Non-Local ML Code Smells with Code Property Graphs,arxiv,cs
2026-07-01,https://arxiv.org/abs/2509.24575,Prompting Robot Teams with Natural Language,arxiv,cs
2026-07-01,https://arxiv.org/abs/2509.26468,fev-bench: A Realistic Benchmark for Time Series Forecasting,arxiv,cs
2026-07-01,https://arxiv.org/abs/2510.09204,Flow-Opt: Scalable Centralized Multi-Robot Trajectory Optimization with Flow Matching and Differentiable Optimization,arxiv,cs
2026-07-01,https://arxiv.org/abs/2510.09340,Deductive Logic in Language Models: Horizontal vs Vertical Reasoning,arxiv,cs
2026-07-01,https://arxiv.org/abs/2510.10895,LLM-Empowered Agentic MAC Protocols: A Dynamic Stackelberg Game Approach,arxiv,cs
2026-07-01,https://arxiv.org/abs/2510.14819,Capturing Context-Aware Route Choice Semantics for Trajectory Representation Learning,arxiv,cs
2026-07-01,https://arxiv.org/abs/2510.17330,CharDiff-LP: A Diffusion Model with Character-Level Guidance for License Plate Image Restoration,arxiv,cs
2026-07-01,https://arxiv.org/abs/2510.17917,Not Every Time and Frequency Need to Be Forgotten in Diffusion Unlearning,arxiv,cs
2026-07-01,https://arxiv.org/abs/2510.19600,Human-Agent Collaborative Paper-to-Page Crafting,arxiv,cs
2026-07-01,https://arxiv.org/abs/2511.00810,GUI-AIMA: Aligning Intrinsic Multimodal Attention with a Context Anchor for GUI Grounding,arxiv,cs
2026-07-01,https://arxiv.org/abs/2511.07175,Continuous-Space Roadmap Generation for Mobile Robot Fleets with Distance Constraints and Geometry-Aware Discretization,arxiv,cs
2026-07-01,https://arxiv.org/abs/2511.11046,Enhancing Graph Representations with Neighborhood-Contextualized Message-Passing,arxiv,cs
2026-07-01,https://arxiv.org/abs/2511.16757,Revisiting Audio-language Pretraining for Learning General-purpose Audio Representation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2511.17442,REMSA: Foundation Model Selection for Remote Sensing via a Constraint-Aware Agent,arxiv,cs
